#string_taxon_id	child_cluster_id	parent_cluster_id
9606	CL:39184	CL:39182
9606	CL:39182	CL:39156
9606	CL:39157	CL:39156
9606	CL:39156	CL:34
9606	CL:35	CL:34
9606	CL:34	CL:30
9606	CL:30	CL:25
9606	CL:25	CL:20
9606	CL:20	CL:15
9606	CL:15	CL:10
9606	CL:10	CL:5
9606	CL:5	CL:0
9606	CL:39173	CL:39157
9606	CL:39158	CL:39157
9606	CL:39142	CL:39006
9606	CL:39007	CL:39006
9606	CL:39006	CL:38472
9606	CL:38473	CL:38472
9606	CL:38472	CL:35
9606	CL:36	CL:35
9606	CL:39124	CL:39102
9606	CL:39103	CL:39102
9606	CL:39102	CL:39007
9606	CL:39008	CL:39007
9606	CL:39106	CL:39103
9606	CL:39075	CL:39063
9606	CL:39064	CL:39063
9606	CL:39063	CL:39061
9606	CL:39061	CL:39008
9606	CL:39009	CL:39008
9606	CL:39046	CL:39009
9606	CL:39012	CL:39009
9606	CL:39032	CL:39012
9606	CL:39015	CL:39012
9606	CL:38997	CL:38985
9606	CL:38986	CL:38985
9606	CL:38985	CL:38473
9606	CL:38474	CL:38473
9606	CL:38971	CL:38920
9606	CL:38922	CL:38920
9606	CL:38920	CL:38474
9606	CL:38475	CL:38474
9606	CL:38926	CL:38924
9606	CL:38924	CL:38922
9606	CL:38902	CL:38834
9606	CL:38835	CL:38834
9606	CL:38834	CL:38475
9606	CL:38476	CL:38475
9606	CL:38891	CL:38835
9606	CL:38837	CL:38835
9606	CL:38845	CL:38842
9606	CL:38842	CL:38840
9606	CL:38840	CL:38837
9606	CL:38816	CL:38814
9606	CL:38814	CL:38476
9606	CL:38478	CL:38476
9606	CL:38787	CL:38785
9606	CL:38785	CL:38478
9606	CL:38479	CL:38478
9606	CL:38766	CL:38479
9606	CL:38480	CL:38479
9606	CL:38749	CL:38480
9606	CL:38481	CL:38480
9606	CL:38737	CL:38621
9606	CL:38622	CL:38621
9606	CL:38621	CL:38481
9606	CL:38482	CL:38481
9606	CL:38724	CL:38622
9606	CL:38623	CL:38622
9606	CL:38700	CL:38698
9606	CL:38698	CL:38623
9606	CL:38624	CL:38623
9606	CL:38688	CL:38624
9606	CL:38627	CL:38624
9606	CL:38641	CL:38637
9606	CL:38637	CL:38632
9606	CL:38632	CL:38629
9606	CL:38629	CL:38627
9606	CL:38608	CL:38482
9606	CL:38483	CL:38482
9606	CL:38587	CL:38583
9606	CL:38583	CL:38483
9606	CL:38484	CL:38483
9606	CL:38568	CL:38564
9606	CL:38564	CL:38484
9606	CL:38485	CL:38484
9606	CL:38530	CL:38492
9606	CL:38493	CL:38492
9606	CL:38492	CL:38487
9606	CL:38487	CL:38485
9606	CL:38521	CL:38493
9606	CL:38497	CL:38493
9606	CL:38507	CL:38497
9606	CL:38498	CL:38497
9606	CL:38460	CL:38442
9606	CL:38444	CL:38442
9606	CL:38442	CL:38412
9606	CL:38414	CL:38412
9606	CL:38412	CL:38338
9606	CL:38339	CL:38338
9606	CL:38338	CL:36
9606	CL:37	CL:36
9606	CL:38416	CL:38414
9606	CL:38399	CL:38383
9606	CL:38385	CL:38383
9606	CL:38383	CL:38339
9606	CL:38340	CL:38339
9606	CL:38374	CL:38340
9606	CL:38343	CL:38340
9606	CL:38357	CL:38343
9606	CL:38345	CL:38343
9606	CL:38327	CL:38311
9606	CL:38313	CL:38311
9606	CL:38311	CL:38267
9606	CL:38268	CL:38267
9606	CL:38267	CL:38193
9606	CL:38194	CL:38193
9606	CL:38193	CL:37
9606	CL:38	CL:37
9606	CL:38300	CL:38268
9606	CL:38269	CL:38268
9606	CL:38289	CL:38269
9606	CL:38270	CL:38269
